t,duration,distance
20:45:00,100.0,906.0
12:15:00,133.0,1263.0
19:15:00,222.0,1898.0
18:15:00,263.0,2412.0
19:30:00,653.0,9521.0
19:15:00,497.0,5144.0
18:45:00,160.0,1088.0
20:30:00,163.0,1521.0
18:30:00,200.0,1749.0
18:30:00,312.0,2958.0
20:30:00,565.0,5641.0
18:30:00,599.0,5060.0
19:30:00,292.0,2357.0
19:00:00,192.0,1779.0
18:15:00,699.0,8374.0
18:30:00,626.0,7670.0
19:45:00,198.0,1816.0
20:30:00,357.0,2689.0
18:45:00,269.0,2445.0
18:30:00,723.0,10076.0
19:15:00,701.0,10518.0
19:00:00,144.0,1230.0
19:00:00,277.0,2365.0
20:30:00,707.0,8354.0
19:15:00,707.0,8354.0
20:00:00,262.0,2273.0
19:30:00,280.0,2183.0
13:15:00,726.0,8935.0
19:15:00,657.0,9338.0
18:00:00,335.0,2712.0
18:30:00,618.0,5123.0
19:00:00,539.0,5777.0
17:00:00,257.0,2576.0
19:00:00,699.0,8374.0
18:45:00,124.0,1040.0
19:30:00,335.0,2712.0
20:45:00,320.0,2852.0
19:00:00,626.0,7670.0
19:45:00,257.0,2187.0
19:30:00,860.0,9655.0
18:45:00,249.0,2009.0
18:15:00,290.0,2521.0
18:30:00,626.0,7670.0
19:00:00,527.0,5594.0
19:15:00,202.0,1729.0
20:00:00,280.0,2183.0
18:45:00,531.0,5047.0
19:30:00,626.0,7670.0
18:00:00,398.0,3623.0
19:15:00,449.0,4301.0
20:00:00,665.0,7901.0
20:15:00,308.0,2439.0
18:15:00,236.0,2152.0
18:00:00,860.0,9655.0
18:30:00,860.0,9655.0
19:45:00,323.0,2853.0
21:15:00,707.0,8354.0
18:30:00,123.0,1142.0
18:30:00,707.0,8354.0
19:45:00,250.0,2190.0
19:00:00,386.0,3374.0
12:15:00,637.0,5710.0
19:30:00,204.0,1577.0
19:30:00,440.0,4058.0
19:00:00,626.0,7670.0
19:30:00,626.0,7670.0
19:00:00,699.0,8374.0
20:00:00,626.0,7670.0
20:00:00,626.0,7670.0
19:00:00,626.0,7670.0
12:00:00,626.0,7670.0
18:15:00,238.0,2155.0
18:30:00,264.0,2014.0
19:00:00,362.0,3242.0
18:15:00,626.0,7670.0
19:45:00,262.0,2273.0
18:15:00,542.0,5582.0
18:30:00,638.0,7763.0
20:15:00,273.0,2690.0
18:15:00,626.0,7670.0
19:15:00,542.0,5582.0
20:30:00,491.0,5005.0
18:30:00,296.0,2389.0
19:15:00,626.0,7670.0
17:30:00,707.0,8354.0
18:00:00,253.0,1975.0
19:30:00,707.0,8354.0
20:30:00,626.0,7670.0
18:00:00,353.0,3292.0
20:15:00,440.0,3937.0
13:30:00,58.0,518.0
18:15:00,626.0,7670.0
13:00:00,292.0,2207.0
19:30:00,775.0,7232.0
19:15:00,316.0,2598.0
17:45:00,240.0,2028.0
17:45:00,707.0,8354.0
18:30:00,285.0,2365.0
18:45:00,285.0,2365.0
18:00:00,838.0,9519.0
19:15:00,275.0,2448.0
18:15:00,410.0,3750.0
16:45:00,707.0,8354.0
19:30:00,138.0,979.0
19:45:00,424.0,4461.0
21:00:00,626.0,7670.0
18:15:00,368.0,3562.0
19:45:00,699.0,8374.0
20:00:00,198.0,1893.0
20:00:00,541.0,6766.0
19:00:00,707.0,8354.0
19:15:00,626.0,7670.0
18:00:00,268.0,2293.0
20:15:00,626.0,7670.0
19:45:00,58.0,508.0
19:15:00,510.0,6407.0
18:45:00,626.0,7670.0
19:30:00,860.0,9655.0
19:15:00,213.0,2012.0
18:00:00,306.0,2676.0
19:15:00,70.0,564.0
19:00:00,626.0,7670.0
20:45:00,369.0,3468.0
18:30:00,239.0,2076.0
21:15:00,550.0,5391.0
18:30:00,386.0,3515.0
19:00:00,145.0,1364.0
18:45:00,707.0,8354.0
19:00:00,707.0,8354.0
18:30:00,860.0,9655.0
18:15:00,183.0,1581.0
19:15:00,449.0,4306.0
18:30:00,128.0,1184.0
13:00:00,195.0,1963.0
20:30:00,326.0,3001.0
19:45:00,227.0,1811.0
17:30:00,33.0,181.0
16:15:00,209.0,1826.0
12:00:00,353.0,3292.0
11:00:00,116.0,882.0
19:30:00,266.0,1850.0
13:30:00,214.0,1703.0
19:30:00,255.0,2192.0
19:30:00,262.0,2295.0
20:30:00,707.0,8354.0
19:45:00,626.0,7670.0
18:00:00,626.0,7670.0
19:00:00,707.0,8354.0
19:45:00,116.0,941.0
18:30:00,280.0,2114.0
19:30:00,348.0,2998.0
11:15:00,227.0,1900.0
19:45:00,433.0,3979.0
18:45:00,247.0,2394.0
20:15:00,263.0,2486.0
19:00:00,440.0,3937.0
21:15:00,158.0,1349.0
19:30:00,860.0,9655.0
18:45:00,221.0,1826.0
18:15:00,665.0,7901.0
19:00:00,541.0,6766.0
12:30:00,478.0,5336.0
18:15:00,317.0,2779.0
19:45:00,180.0,1610.0
19:45:00,626.0,7670.0
19:15:00,626.0,7670.0
20:00:00,626.0,7670.0
20:00:00,390.0,3766.0
18:00:00,344.0,3062.0
18:45:00,453.0,4536.0
20:15:00,707.0,8354.0
18:30:00,202.0,1494.0
